City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hours),Snow inches (last 3 hours)
210,Mokhsogollokh,RU,2020-02-23 21:20:19,61.47,128.92,-4.67,98,97,3.02,overcast clouds,0.0,0.0
211,Antigonish,CA,2020-02-23 21:20:19,45.62,-62.0,42.8,41,1,4.7,clear sky,0.0,0.0
212,Flinders,AU,2020-02-23 21:20:20,-34.58,150.86,72.0,77,0,8.05,clear sky,0.0,0.0
213,Normandin,CA,2020-02-23 21:20:20,48.83,-72.53,36.0,59,75,5.82,broken clouds,0.0,0.0
214,Tall Kayf,TR,2020-02-23 21:20:21,37.08,41.07,48.2,81,75,9.17,broken clouds,0.0,0.0
215,Miquelon,PM,2020-02-23 21:20:21,47.1,-56.38,32.0,83,0,17.22,clear sky,0.0,0.0
216,Khandyga,RU,2020-02-23 21:20:21,62.67,135.6,-5.62,98,100,2.59,light snow,0.0,0.19
217,Businga,CD,2020-02-23 21:20:21,3.33,20.88,81.63,29,69,2.55,broken clouds,0.0,0.0
218,Santa Isabel Do Rio Negro,BR,2020-02-23 21:20:22,-0.41,-65.02,92.55,51,98,3.98,overcast clouds,0.0,0.0
219,Guiren,CN,2020-02-23 21:20:22,33.67,118.19,51.73,78,82,7.99,broken clouds,0.0,0.0
220,Vallenar,CL,2020-02-23 21:20:22,-28.57,-70.76,71.28,51,0,10.94,clear sky,0.0,0.0
221,Payson,US,2020-02-23 21:19:21,40.04,-111.73,51.01,36,1,6.24,clear sky,0.0,0.0
222,Mahebourg,MU,2020-02-23 21:20:22,-20.41,57.7,77.0,88,40,4.7,scattered clouds,0.0,0.0
223,Laguna,US,2020-02-23 21:20:23,38.42,-121.42,66.2,62,1,5.82,clear sky,0.0,0.0
224,Kondinskoye,RU,2020-02-23 21:20:23,59.65,67.41,26.73,93,96,10.94,overcast clouds,0.0,0.0
225,Teutonia,BR,2020-02-23 21:20:23,-29.45,-51.81,71.01,66,0,10.0,clear sky,0.0,0.0
226,Muros,ES,2020-02-23 21:19:39,42.78,-9.06,61.0,93,0,2.24,clear sky,0.0,0.0
